Commodity,CommodityId,Category,CategoryId,Item,Item2,ItemId,Units,UnitsAbr,UnitsId,Region,RegionId,Country,CountryId,Year,Value,SurveyBaseYear,Note,Order,Size,SizeId
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2007,240.1,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2008,246.14,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2009,202.34,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2010,300.56,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2011,235.8,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2012,176.47,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2013,152.04,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2014,164.6,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2015,193.97,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2016,156.2,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2017,165.54,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2018,170.42,Base survey of 2011,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2019,260.09,Base survey of 2019,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Prairie Gateway,50,United States,10,2020,342.75,Base survey of 2019,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Eastern Uplands,60,United States,10,1995,160.17,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Eastern Uplands,60,United States,10,1996,183,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Eastern Uplands,60,United States,10,1997,152.6,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Eastern Uplands,60,United States,10,1998,104.88,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Eastern Uplands,60,United States,10,1999,84.24,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Eastern Uplands,60,United States,10,2000,91.16,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Eastern Uplands,60,United States,10,2001,102.34,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Eastern Uplands,60,United States,10,2002,126.72,Base survey of 1995,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Fruitful Rim,90,United States,10,2003,126.5,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Fruitful Rim,90,United States,10,2004,116.4,Base survey of 2003,,30,No specific size,90
Sorghum,70,Gross value of production,1,"Primary product, grain","Primary product, grain",31,dollars per planted acre,$ / planted ac,10,Fruitful Rim,90,United States,10,2005,107.73,Base survey of 2003,,30,No specific size,90
